Target Geo Id,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
1590000US1208645000,Miami city,399457(r40516),183994(r17171),56.06,20.19,35.87,11135.9,5129.3
1590000US1208645025,Miami Beach city,87779(r40518),67499(r17173),15.17,7.55,7.63,11511.1,8851.6
1590000US1208645060,Miami Gardens city,107167(r40520),34284(r17175),19.02,0.79,18.23,5878.4,1880.6
1590000US1208645100,Miami Lakes town,29361,10698,6.52,0.89,5.63,5211.4,1898.8
1590000US1208645175,Miami Shores village,10493,3935,3.8,1.29,2.5,4191.9,1572
1590000US1208645200,Miami Springs city,13809,5361,2.99,0.11,2.88,4795.4,1861.7
1590000US1208647700,Naranja CDP,8303,2923,1.64,0.18,1.46,5699.2,2006.4
1590000US1208649225,North Bay Village city,7137,4572,0.82,0.45,0.37,19303.3,12365.8
1590000US1208649450,North Miami city,58786(r40521),22110(r17176),9.99,1.58,8.41,6990.7,2629.3
1590000US1208649475,North Miami Beach city,41523,16402,5.37,0.54,4.83,8602.2,3397.9
1590000US1208651125,Ojus CDP,18036,8146,3.16,0.52,2.65,6816.6,3078.7
1590000US1208651475,Olympia Heights CDP,13488,4278,3.01,0.36,2.65,5084,1612.5
1590000US1208651650,Opa-locka city,15219,5966,4.48,0.18,4.3,3535.8,1386.1
1590000US1208654275,Palmetto Bay village,23410(r40523),8372(r17178),8.45,0.16,8.29,2823.9,1009.9
1590000US1208654300,Palmetto Estates CDP,13535,4211,2.21,0.05,2.16,6259.5,1947.5
1590000US1208654500,Palm Springs North CDP,5253,1619,1,0.21,0.8,6604.6,2035.6
1590000US1208656625,Pinecrest village,18223,6619,7.52,0.08,7.44,2448.9,889.5
1590000US1208657250,Pinewood CDP,16520,5475,1.9,0.14,1.76,9392.7,3112.9
1590000US1208658975,Princeton CDP,22038,6817,7.43,0.05,7.38,2987.7,924.2
1590000US1208660225,Richmond Heights CDP,8541,2874,1.61,0.02,1.6,5339.8,1796.8
1590000US1208660230,Richmond West CDP,31973,9366,4.28,0.12,4.17,7671.7,2247.3
1590000US1208667550,South Miami city,11657,5174,2.31,0.04,2.27,5137.6,2280.3
1590000US1208667575,South Miami Heights CDP,35696,11480,4.94,0.05,4.89,7307.1,2350
1590000US1208669555,Sunny Isles Beach city,20832,18984,1.82,0.8,1.02,20518.9,18698.7
1590000US1208669812,Sunset CDP,16389,5610,3.55,0.07,3.48,4709.4,1612
1590000US1208670075,Surfside town,5744,3890,0.94,0.37,0.57,10067.9,6818.3
1590000US1208670345,Sweetwater city,13499,4195,0.8,0.01,0.79,17023,5290.1
1590000US1208670700,Tamiami CDP,55271(r40525),17256(r17180),7.45,0.38,7.07,7819.7,2441.4
1590000US1208671567,The Crossings CDP,22758,8587,3.6,0.14,3.46,6574.8,2480.8
1590000US1208671569,The Hammocks CDP,51003,17565,8.1,0.22,7.88,6470.3,2228.3
1590000US1208671741,Three Lakes CDP,15047,5342,3.85,0.66,3.2,4703,1669.7
1590000US1208673287,University Park CDP,26995,8431,4.1,0.13,3.97,6796.3,2122.6
1590000US1208674575,Virginia Gardens village,2375,949,0.29,0,0.29,8062.3,3221.5
1590000US1208676075,Westchester CDP,29862,9812,3.97,0.02,3.94,7577.2,2489.7
1590000US1208676487,West Little River CDP,34699,11102,4.64,0.07,4.56,7606.4,2433.7
1590000US1208676525,West Miami city,5965,2180,0.71,0,0.71,8417.6,3076.3
1590000US1208676700,West Perrine CDP,9460,3336,1.76,0,1.76,5386,1899.3
1590000US1208676950,Westview CDP,9650,3430,3.18,0.15,3.02,3192.2,1134.6
1590000US1208677075,Westwood Lakes CDP,11838,3509,1.79,0.15,1.64,7200.1,2134.2
